#Name Ra Dec Flux[V] maj_ax min_ax
NGC222 10.175458333333333 -73.38355555555556 12.64 1.2 1.2
NGC223 10.566154999999998 0.8454852777777778 -- 0.67 0.482
NGC224 10.684708333333331 41.26875 3.44 199.53 70.79
NGC225 10.805000000000001 61.77388888888889 7.0 25.9 25.9
NGC226 10.725254999999999 32.58092805555556 -- 0.49 0.431
NGC227 10.6535 -1.5287833333333334 -- 1.113 0.846
NGC228 10.7270525 23.50308861111111 -- 0.573 0.424
NGC229 10.769446666666667 23.509105277777778 -- 0.72 0.23
NGC230 10.613295833333332 -23.628805555555555 -- 0.76 0.182
NGC231 10.280166666666666 -73.34955555555555 12.87 1.8 1.8
NGC232 10.690891666666666 -23.56130277777778 -- 0.723 0.535
NGC233 10.902403333333334 30.586961666666664 -- 0.82 0.689
NGC234 10.884923749999999 14.342610277777778 -- 1.053 0.948
NGC235 10.720042916666666 -23.54103277777778 -- 0.9 0.45
NGC236 10.864694166666668 2.958176388888889 -- 0.607 0.558
NGC237 10.866095000000001 0.12494583333333334 13.06 0.763 0.519
NGC238 10.857268750000001 -50.18287027777777 -- 1.017 0.63
NGC239 11.156316666666665 -3.759225 -- 0.673 0.377
NGC240 11.258027916666668 6.1132888888888886 -- 0.8 0.72
NGC241 10.886416666666666 -73.44038888888889 -- 0.95 0.95
NGC242 10.906541666666666 -73.44386111111112 -- 0.75 0.75
NGC243 11.503611666666668 29.959545833333333 -- 0.68 0.34
NGC244 11.443402083333334 -15.596775555555556 -- 0.5 0.46
NGC245 11.522479166666669 -1.7233916666666669 -- 0.963 0.848
NGC246 11.763925 -11.871936388888889 11.76 3.733 3.733
NGC247 11.785641666666667 -20.7604 9.1 20.42 5.13
NGC248 11.350291666666665 -73.37899999999999 -- 1.4 1.1
NGC249 11.375833333333333 -73.07972222222222 -- 1.1 0.7
NGC250 11.816767916666667 7.910035000000001 -- 0.667 0.32
NGC251 11.975091666666668 19.596903333333334 -- 1.077 0.624
NGC252 12.00627875 27.623914722222224 12.49 1.183 0.876
NGC253 11.888058333333333 -25.288800000000002 -- 28.84 5.89
NGC254 11.865167916666667 -31.42183277777778 11.82 1.453 0.785
NGC255 11.947120833333335 -11.468697222222222 -- 1.043 0.918
NGC256 11.475458333333334 -73.50663888888889 12.5 0.9 0.9
NGC257 12.006287916666668 8.297084722222221 -- 1.147 0.688
NGC258 12.053297083333334 27.657206666666664 -- 0.357 0.314
NGC259 12.013670833333334 -2.7752805555555553 -- 1.673 0.435
NGC260 12.144455 27.692385833333333 -- 0.417 0.392
NGC261 11.631250000000001 -73.10444444444444 -- 1.3 1.1
NGC262 12.1964225 31.956967777777777 13.06 0.583 0.525
NGC263 12.201950833333333 -13.107371388888888 -- 0.497 0.298
NGC264 12.087292916666666 -38.23438166666667 -- 0.753 0.301
NGC265 11.7975 -73.47694444444444 12.17 1.2 1.2
NGC266 12.44922875 32.27771833333333 11.63 1.553 0.901
NGC267 12.010833333333334 -73.2775 -- 2.4 1.7
NGC268 12.539782500000001 -5.193712777777778 -- 0.813 0.553
NGC269 12.092708333333334 -73.53022222222222 12.59 1.2 1.2
NGC270 12.635433333333333 -8.651679166666668 -- 0.98 0.725
NGC271 12.674434166666666 -1.9102888888888887 -- 1.377 1.156
NGC272 12.825 35.833333333333336 -- -- --
NGC273 12.701889166666668 -6.885691666666666 -- 1.207 0.459
NGC274 12.75770375 -7.057008888888888 -- 1.973 0.789
NGC275 12.768833333333333 -7.065638888888889 -- 1.74 1.38
NGC276 13.027399166666667 -22.680116666666667 -- 0.753 0.211
NGC277 12.821824583333333 -8.596837222222224 -- 0.633 0.583
NGC278 13.018105 47.550465277777775 -- 1.57 1.539
NGC279 13.03730625 -2.2184319444444447 -- 0.943 0.755
NGC280 13.126110416666666 24.350558055555556 -- 0.85 0.425
NGC281 13.104583333333334 56.565 -- -- --
NGC282 13.175604166666666 30.639023055555555 -- 0.663 0.517
NGC283 13.3050725 -13.163873333333333 -- 0.487 0.36
NGC284 13.375 -13.15 -- 0.851 0.851
NGC285 13.374459166666666 -13.1607575 -- 0.447 0.393
NGC286 13.376505 -13.112732777777778 -- 0.483 0.358
NGC287 13.367856249999999 32.48238472222222 -- 0.56 0.37
NGC288 13.1885 -26.58261111111111 8.13 19.2 19.2
NGC289 13.176520833333335 -31.205830555555554 13.44 3.72 2.75
NGC290 12.801375 -73.16169444444445 11.71 1.1 1.1
NGC291 13.374611666666667 -8.767753055555556 -- 0.667 0.267
NGC292 13.158333333333333 -72.80027777777778 2.2 158.113 93.105
NGC293 13.566450000000001 -7.235530555555556 -- 0.74 0.281
NGC294 13.273291666666665 -73.38038888888889 12.24 1.27 1.2
NGC295 13.781175 31.54234777777778 -- 1.61 0.515
NGC296 13.839720833333333 31.677280555555555 -- 0.553 0.221
NGC297 13.745599583333334 -7.349609444444444 -- 0.243 0.229
NGC298 13.759779166666666 -7.333088888888889 -- 0.73 0.277
NGC299 13.353083333333332 -72.19655555555556 11.73 0.9 0.9
NGC300 13.72269375 -37.68421333333333 8.13 20.89 13.49
NGC301 14.07645375 -10.6738675 -- 0.38 0.266
NGC303 13.72807625 -16.654751388888887 -- 0.463 0.204
NGC304 14.025059166666667 24.126913333333334 12.67 0.843 0.557
NGC305 13.99403 12.123880277777777 -- 0.5 0.18
NGC306 13.559625 -72.24091666666666 12.07 1.1 1.1
NGC307 14.135670416666667 -1.7719905555555555 -- 1.127 0.428
NGC308 14.143025 -1.7843255555555555 15.69 -- --
NGC309 14.177742083333333 -9.913875555555556 -- 1.23 1.058
NGC311 14.386345833333333 30.28073722222222 13.0 0.907 0.435
NGC312 14.066383333333334 -52.78270555555555 -- 1.037 0.788
NGC314 14.218326666666666 -31.963037777777778 -- 0.54 0.335
NGC315 14.453680416666666 30.3524475 11.16 1.88 1.429
NGC317 14.418208333333332 43.79666666666667 -- -- --
NGC318 14.521787916666668 30.42553277777778 -- 0.467 0.336
NGC319 14.23993875 -43.83876611111111 -- 0.493 0.375
NGC320 14.69385875 -20.840048888888887 -- 0.627 0.301
NGC321 14.413478333333332 -5.086155833333333 -- 0.313 0.288
NGC322 14.291769583333332 -43.72706 -- 0.693 0.291
NGC323 14.173525833333333 -52.975927222222225 -- 0.82 0.705
NGC324 14.311539999999999 -40.959111944444444 -- 0.983 0.393
NGC325 14.44955875 -5.112085555555555 -- 0.957 0.172
NGC326 14.594290833333332 26.866305833333335 13.0 0.72 0.576
NGC327 14.480673333333332 -5.130434999999999 -- 0.953 0.477
NGC328 14.2397475 -52.92388472222222 -- 1.133 0.408
NGC329 14.506682916666666 -5.071283611111111 -- 1.053 0.421
NGC330 14.077291666666667 -72.46252777777778 9.55 2.8 2.5
NGC331 14.265833333333333 -2.7575 -- 0.74 0.52
NGC332 14.704712916666667 7.111288888888889 -- 0.583 0.455
NGC333 14.713744583333334 -16.46915333333333 -- 0.663 0.491
