#Name Ra Dec Flux[V] maj_ax min_ax
IC450 103.05139427733 74.42697811881 14.1899995803833 0.697 0.488
IC451 103.21676928878001 74.48065216242 -- 0.743 0.61
IC452 102.16295833333334 -16.901611111111112 -- 1.174 0.954
IC454 102.77632451060002 12.921957613950001 -- 1.21 0.702
IC455 113.73955263973 85.53721534626 -- 0.743 0.491
IC456 105.07313569842002 -30.16370537936 -- 1.077 0.775
IC457 107.36830954368 50.15250677678 13.050000190734863 0.42 0.26
IC458 107.64239946691 50.11887727676 -- 0.733 0.425
IC459 107.66116228307 50.1773150645 -- 0.33 0.317
IC460 107.68448781170001 50.20241458764999 -- 0.483 0.319
IC461 107.68773654187 50.08146728097 -- 0.477 0.343
IC462 107.72416666666666 50.18527777777778 -- 0.741 0.489
IC464 107.76977654339 50.13685722633001 -- 0.687 0.371
IC465 107.89020188841002 50.24829873246 -- 0.703 0.605
IC466 107.15416666666667 -4.3133333333333335 -- -- --
IC467 112.57666666666668 79.87249722222222 -- 1.433 0.516
IC468 109.5 -13.1 -- -- --
IC469 118.99584435044001 85.15889170849 -- 2.02 0.687
IC470 110.88083333333331 46.078611111111115 -- -- --
IC471 115.90190597301005 49.66754714595 -- 0.733 0.645
IC472 115.95978597971 49.61419799539 -- 1.003 0.722
IC474 116.53042987246 26.50509920203 -- 0.85 0.272
IC475 116.78851673537 30.48880855585 -- 0.473 0.331
IC476 116.81787083333334 26.951052777777775 -- 0.433 0.225
IC477 118.02179735633 23.48097989614 -- 0.38 0.34
IC478 118.42321549194003 26.492689181480003 -- 0.65 0.47
IC479 118.59258782766 27.008805328080005 -- 0.473 0.388
IC480 118.846788 26.741122 -- 1.74 0.32
IC481 119.76199743561 24.16061133712 -- 0.913 0.237
IC482 119.94700595206 25.35698110316 -- 0.497 0.358
IC484 120.00446077354 26.665840153530002 -- 0.54 0.281
IC485 120.082359 26.70144 -- 0.63 0.277
IC486 120.08743500089999 26.61351567976 16.360000610351562 0.537 0.526
IC487 119.77966158345 -0.63787409741 -- 0.62 0.434
IC490 120.83384489060005 25.8113986515 -- 0.35 0.294
IC492 121.41111192117 26.168179837609998 17.190000534057617 0.75 0.63
IC493 121.86515833333337 25.132944444444444 -- 0.643 0.437
IC494 121.60047069954 1.03598657875 -- 0.903 0.434
IC495 122.08095559149999 9.013891926479998 -- 0.473 0.398
IC496 122.43402378140999 25.88158968685 -- 0.457 0.247
IC497 122.52523981742999 24.9220924311 14.260000228881836 0.67 0.362
IC498 122.37612381547001 5.280708740350001 -- 0.537 0.429
IC499 131.32240417834 85.74010674969 -- 1.193 0.692
IC500 123.16487996155 -16.05069667521 -- 0.9 0.378
IC501 124.69828179639 24.537425469659997 -- 0.423 0.271
IC502 125.51503761997 8.75260351896 -- 0.433 0.381
IC503 125.54455015225 3.2680589055900002 -- 0.133 0.133
IC504 125.67167539472 4.26244001765 -- 0.823 0.659
IC505 125.840272 4.372479 -- 0.767 0.567
IC506 125.87803262234002 4.29950224794 -- 0.477 0.448
IC508 127.093775 25.12500277777777 -- 0.537 0.44
IC509 128.01458338087 24.010890821240004 -- 0.573 0.539
IC510 128.04556751051 -2.1624999922200003 -- 0.41 0.295
IC511 130.21024623185 73.48676431344 -- 0.873 0.367
IC512 135.9570625 85.50167222222223 -- 0.897 0.807
IC513 128.27108148966 -12.355465598649998 -- 0.72 0.475
IC514 128.84290118936 -2.04708643301 -- 0.38 0.243
IC515 128.88032776437 -1.90089331296 -- 0.613 0.368
IC516 128.96161935043 -1.8712732975400006 -- 0.39 0.203
IC517 129.09211810933 -2.0554895114 -- 0.41 0.221
IC519 130.14337774106 2.61133792159 -- 0.44 0.361
IC520 133.42602969418 73.49094964352 -- 1.307 1.124
IC521 131.6831718357 2.53741806592 -- 0.587 0.34
IC522 133.64551398374 57.16671781729001 -- 0.747 0.642
IC523 133.2971841869 9.148148134770002 -- 0.457 0.347
IC524 134.55344265612 -19.1918441111 -- 0.703 0.464
IC525 135.34372083333332 -1.8540944444444445 -- 0.623 0.224
IC526 135.66986034113 10.84148902171 -- 0.42 0.277
IC527 137.42412012874 37.60158552362 -- 0.813 0.634
IC528 137.34399239194 15.796149153350003 -- 0.67 0.295
IC529 139.63661249999998 73.75932222222222 -- 1.297 0.648
IC530 138.82070842189 11.885665229279999 -- 1.087 0.304
IC531 139.46166649047 -0.27836983475000004 -- 0.713 0.228
IC534 140.31432916666665 3.1510166666666675 -- 0.46 0.193
IC535 140.56759533535 -1.04034958077 -- 0.383 0.376
IC536 141.1671195475 25.11018112792 -- 0.957 0.268
IC537 141.34425144888 -12.39164172841 -- 0.65 0.494
IC538 141.82710204441 23.0200586362 16.25 0.63 0.466
IC539 142.2843021112 -2.5491373177 -- 0.623 0.461
IC540 142.54275416666667 7.902527777777778 -- 0.89 0.267
IC542 142.77591583702 -13.18125650753 -- 0.75 0.285
